episode,external_return,success,positive_feedback_count,positive_feedback_rate,episode_length,epsilon,mean_q_loss
1,0.0,0,0,0.0,200,0.9995,0.0
2,0.0,0,0,0.0,200,0.9990002500000001,0.0
3,1.0,1,1,0.015873015873015872,63,0.9985007498750001,0.0
4,0.0,0,0,0.0,200,0.9980014995000627,0.0
5,0.0,0,0,0.0,200,0.9975024987503127,0.0
6,1.0,1,1,0.015384615384615385,65,0.9970037475009376,0.0
7,1.0,1,1,0.01639344262295082,61,0.9965052456271871,0.0
8,1.0,1,1,0.013513513513513514,74,0.9960069930043736,0.005386154026382428
9,1.0,1,1,0.008620689655172414,116,0.9955089895078715,0.0036674683629073493
10,0.0,0,0,0.0,200,0.9950112350131176,0.004051706154568819
11,1.0,1,1,0.015151515151515152,66,0.9945137293956111,0.00289551383960343
12,0.0,0,0,0.0,200,0.9940164725309134,0.0030433702905429526
13,1.0,1,1,0.05263157894736842,19,0.993519464294648,0.001980278245786107
14,1.0,1,1,0.009708737864077669,103,0.9930227045625007,0.0037997197000947283
15,0.0,0,0,0.0,200,0.9925261932102195,0.003051879789418308
16,0.0,0,0,0.0,200,0.9920299301136144,0.0021341833162296098
17,0.0,0,0,0.0,200,0.9915339151485576,0.0027383161029501933
18,0.0,0,0,0.0,200,0.9910381481909833,0.002713299605238717
19,1.0,1,1,0.020833333333333332,48,0.990542629116888,0.001897535438123062
20,0.0,0,0,0.0,200,0.9900473578023296,0.0024703552648134065
21,1.0,1,1,0.013888888888888888,72,0.9895523341234285,0.0025731201392570962
22,1.0,1,1,0.016666666666666666,60,0.9890575579563669,0.0036029531668949253
23,1.0,1,1,0.014492753623188406,69,0.9885630291773887,0.0014619921334931437
24,0.0,0,0,0.0,200,0.9880687476628001,0.0021420970727922396
25,0.0,0,0,0.0,200,0.9875747132889687,0.0022392669153487076
26,1.0,1,1,0.029411764705882353,34,0.9870809259323243,0.0028846792625057895
27,1.0,1,1,0.02857142857142857,35,0.9865873854693582,0.0015059013510056371
28,0.0,0,0,0.0,200,0.9860940917766235,0.0018270188936003252
29,1.0,1,1,0.011235955056179775,89,0.9856010447307353,0.00213686673440238
30,1.0,1,1,0.01020408163265306,98,0.98510824420837,0.0015664838342951154
